Species,ModType,Submodel,Param,Estimate,SE
Lynx rufus,10-day SOM,Detection,Intercept,-1.200680444996908,0.11889326087499869
Lynx rufus,10-day SOM,Detection,Canopy height,-0.13370644362829368,0.10350839931034216
Lynx rufus,10-day SOM,Detection,Log dist. to road,-0.19109398569898817,0.12726379669155524
Lynx rufus,10-day SOM,Occupancy,Intercept,-1.053002367033331,0.13040389993256754
Lynx rufus,10-day SOM,Occupancy,Max temp.,0.15960439454931655,0.11117901320924178
Lynx rufus,10-day SOM,Occupancy,Pct. forest cover,0.13628353831301362,0.11458561297410434
Lynx rufus,Clustered,Detection,Intercept,-2.8631456712877053,0.1139015477003185
Lynx rufus,Clustered,Detection,Canopy height,-0.04396381846855801,0.08114399863009142
Lynx rufus,Clustered,Detection,Log dist. to road,0.08847258045177513,0.10512530082922455
Lynx rufus,Clustered,Occupancy,Intercept,4.052447220500182,2.9280421229225784
Lynx rufus,Clustered,Occupancy,Max temp.,1.7378503098428286,1.5610948165498315
Lynx rufus,Clustered,Occupancy,Pct. forest cover,1.9627870749144551,1.4290460883285132
Lynx rufus,Clustered,Site use,Theta,-5.197599694077596,0.18818408250295077
Lynx rufus,Clustered,Site use,Theta Prime,3.4387692080398846,0.2258333934384197
Mephitis mephitis,1-day SOM,Detection,Intercept,-3.03518483075108,0.07776881701190941
Mephitis mephitis,1-day SOM,Detection,Canopy height,-0.33995240404302884,0.07502444709590773
Mephitis mephitis,1-day SOM,Detection,Log dist. to road,0.07115074298643875,0.07399899722619116
Mephitis mephitis,1-day SOM,Occupancy,Intercept,-2.053592602775913,0.10828101016848296
Mephitis mephitis,1-day SOM,Occupancy,Max temp.,0.15284761444205514,0.10839541724906658
Mephitis mephitis,1-day SOM,Occupancy,Pct. forest cover,0.06198562780340045,0.10967848601923529
Mephitis mephitis,10-day SOM,Detection,Intercept,-1.1304784818685818,0.13835776413280715
Mephitis mephitis,10-day SOM,Detection,Canopy height,-0.48597345147332904,0.1243427901497567
Mephitis mephitis,10-day SOM,Detection,Log dist. to road,-0.15016778612311704,0.1201693059986635
Mephitis mephitis,10-day SOM,Occupancy,Intercept,-1.767155131876451,0.13666592690803525
Mephitis mephitis,10-day SOM,Occupancy,Max temp.,0.16343870143729194,0.11723526656250294
Mephitis mephitis,10-day SOM,Occupancy,Pct. forest cover,0.1266524267496606,0.12144197949247124
Mephitis mephitis,Clustered,Detection,Intercept,-1.7413313522051144,0.15438068602000865
Mephitis mephitis,Clustered,Detection,Canopy height,-0.3890468528672868,0.10715877295995126
Mephitis mephitis,Clustered,Detection,Log dist. to road,0.14120874295095318,0.09803385144727
Mephitis mephitis,Clustered,Occupancy,Intercept,-1.5453830858207322,0.17909348966926616
Mephitis mephitis,Clustered,Occupancy,Max temp.,0.16432052844077252,0.11506497256627182
Mephitis mephitis,Clustered,Occupancy,Pct. forest cover,0.06772343974064793,0.11784364730241756
Mephitis mephitis,Clustered,Site use,Theta,-3.3554444169192537,0.24846080018864983
Mephitis mephitis,Clustered,Site use,Theta Prime,1.934851272037588,0.23882352378281865
Odocoileus hemionus,1-day SOM,Detection,Intercept,-2.049823168477071,0.03734433481869831
Odocoileus hemionus,1-day SOM,Detection,Canopy height,0.11604635793009452,0.03082480140967142
Odocoileus hemionus,1-day SOM,Detection,Log dist. to road,-0.11017400197636287,0.03647293558344753
Odocoileus hemionus,1-day SOM,Occupancy,Intercept,0.60019852416123,0.13550518933699643
Odocoileus hemionus,1-day SOM,Occupancy,Max temp.,-0.3347473662685503,0.1392993426811951
Odocoileus hemionus,1-day SOM,Occupancy,Pct. forest cover,0.7486003264882819,0.17233050922018597
Odocoileus hemionus,10-day SOM,Detection,Intercept,0.06887839703155513,0.08959276763026426
Odocoileus hemionus,10-day SOM,Detection,Canopy height,0.24124672001465697,0.07493516209745997
Odocoileus hemionus,10-day SOM,Detection,Log dist. to road,-0.10484348431278684,0.08874854319748957
Odocoileus hemionus,10-day SOM,Occupancy,Intercept,0.6875595358004164,0.15808299659920153
Odocoileus hemionus,10-day SOM,Occupancy,Max temp.,-0.29719866430639374,0.14846476189235175
Odocoileus hemionus,10-day SOM,Occupancy,Pct. forest cover,0.7965410015730938,0.2065453429881272
Odocoileus hemionus,Clustered,Detection,Intercept,-1.1180880785933982,0.07490244846707847
Odocoileus hemionus,Clustered,Detection,Canopy height,0.06280655040532979,0.04656575111448512
Odocoileus hemionus,Clustered,Detection,Log dist. to road,-0.05999868383960768,0.05084230353290504
Odocoileus hemionus,Clustered,Occupancy,Intercept,1.2734894530961285,0.40345987997763544
Odocoileus hemionus,Clustered,Occupancy,Max temp.,-0.3459149783185151,0.1775677867635947
Odocoileus hemionus,Clustered,Occupancy,Pct. forest cover,1.3965554841991656,0.5776103483852627
Odocoileus hemionus,Clustered,Site use,Theta,-2.928380804306081,0.15845654696629077
Odocoileus hemionus,Clustered,Site use,Theta Prime,2.618595836655367,0.19753199711443295
Odocoileus virginianus,1-day SOM,Detection,Intercept,-0.8149008635527784,0.01208652814124049
Odocoileus virginianus,1-day SOM,Detection,Canopy height,-0.02091183004191909,0.01327399208165201
Odocoileus virginianus,1-day SOM,Detection,Log dist. to road,-0.09181956939622916,0.01534265290773655
Odocoileus virginianus,1-day SOM,Occupancy,Intercept,1.186794509421577,0.07754000686102251
Odocoileus virginianus,1-day SOM,Occupancy,Max temp.,0.31468439445829055,0.07949053399745692
Odocoileus virginianus,1-day SOM,Occupancy,Pct. forest cover,1.1256429032299655,0.08360559005851376
Odocoileus virginianus,10-day SOM,Detection,Intercept,1.544481072881314,0.05301900132067241
Odocoileus virginianus,10-day SOM,Detection,Canopy height,9.871399649701727e-4,0.0596369700437775
